feature,dtype,used_in
Type,object,baseline_models
Sales per customer,float64,baseline_models
Category Name,object,baseline_models
Customer City,object,baseline_models
Customer Country,object,baseline_models
Customer Segment,object,baseline_models
Customer State,object,baseline_models
Department Name,object,baseline_models
Market,object,baseline_models
Order City,object,baseline_models
Order Country,object,baseline_models
Order Item Discount,float64,baseline_models
Order Item Discount Rate,float64,baseline_models
Order Item Product Price,float64,baseline_models
Order Item Quantity,int64,baseline_models
Sales,float64,baseline_models
Order Item Total,float64,baseline_models
Order Region,object,baseline_models
Order State,object,baseline_models
Product Name,object,baseline_models
Product Price,float64,baseline_models
Product Status,int64,baseline_models
Shipping Mode,object,baseline_models
order_year,int64,baseline_models
order_month,int64,baseline_models
order_week,int64,baseline_models
order_day,int64,baseline_models
order_dayofweek,int64,baseline_models
order_quarter,int64,baseline_models
sales_per_unit,float64,baseline_models
qty_lag_1,float64,baseline_models
qty_lag_3,float64,baseline_models
qty_lag_7,float64,baseline_models
qty_roll_mean_3,float64,baseline_models
qty_roll_mean_7,float64,baseline_models
qty_roll_std_7,float64,baseline_models
delay_lag_1,float64,baseline_models
delay_roll_mean_7,float64,baseline_models
delay_roll_std_7,float64,baseline_models
profit_lag_1,float64,baseline_models
profit_roll_mean_7,float64,baseline_models
profit_roll_std_7,float64,baseline_models
buyer_agent_key,object,baseline_models
supplier_proxy_key,object,baseline_models
