table_name,column_name,dtype,non_null_count,missing_count,unique_values,sample_values
customers,customer_id,object,99441,0,99441,06b8999e2fba1a1fbc88172c00ba8bc7 | 18955e83d337fd6b2def6b18a428ac77 | 4e7b3e00288586ebd08712fdd0374a03 | b2b6027bc5c5109e529d4dc6358b12c3 | 4f2d8ab171c80ec8364f7c12e35b23ad
customers,customer_unique_id,object,99441,0,96096,861eff4711a542e4b93843c6dd7febb0 | 290c77bc529b7ac935b93aa66c333dc3 | 060e732b5b29e8181a18229c7b0b2b5e | 259dac757896d24d7702b9acbbff3f3c | 345ecd01c38d18a9036ed96c73b8d066
customers,customer_zip_code_prefix,int64,99441,0,14994,14409 | 9790 | 1151 | 8775 | 13056
customers,customer_city,object,99441,0,4119,franca | sao bernardo do campo | sao paulo | mogi das cruzes | campinas
customers,customer_state,object,99441,0,27,SP | SP | SP | SP | SP
geolocation,geolocation_zip_code_prefix,int64,1000163,0,19015,1037 | 1046 | 1046 | 1041 | 1035
geolocation,geolocation_lat,float64,1000163,0,717360,-23.54562128115268 | -23.54608112703553 | -23.54612896641469 | -23.5443921648681 | -23.541577961711493
geolocation,geolocation_lng,float64,1000163,0,717613,-46.63929204800168 | -46.64482029837157 | -46.64295148361138 | -46.63949930627844 | -46.64160722329613
geolocation,geolocation_city,object,1000163,0,8011,sao paulo | sao paulo | sao paulo | sao paulo | sao paulo
geolocation,geolocation_state,object,1000163,0,27,SP | SP | SP | SP | SP
order_items,order_id,object,112650,0,98666,00010242fe8c5a6d1ba2dd792cb16214 | 00018f77f2f0320c557190d7a144bdd3 | 000229ec398224ef6ca0657da4fc703e | 00024acbcdf0a6daa1e931b038114c75 | 00042b26cf59d7ce69dfabb4e55b4fd9
order_items,order_item_id,int64,112650,0,21,1 | 1 | 1 | 1 | 1
order_items,product_id,object,112650,0,32951,4244733e06e7ecb4970a6e2683c13e61 | e5f2d52b802189ee658865ca93d83a8f | c777355d18b72b67abbeef9df44fd0fd | 7634da152a4610f1595efa32f14722fc | ac6c3623068f30de03045865e4e10089
